-1.0104,-1.1201
-0.7339,-1.0841
0.1006,-0.0812
1.0233,0.8365
-0.3742,-0.5803
0.7718,0.183
0.1435,0.8227
0.4241,1.5328
0.4554,0.715
0.8637,1.2585
0.8019,1.0245
-0.4976,0.1141
-0.056,-0.3807
0.6396,0.6976
-0.6709,-0.6961
0.0985,-0.3818
-1.0431,-1.4471
0.1974,0.6488
-0.0108,-0.1438
0.4201,0.7892
-0.4806,-0.4638
1.2105,1.0431
-0.4818,-0.8207
-0.9588,-0.6225
0.0436,0.3819
-0.563,-1.1561
0.0083,-0.0624
0.6079,0.1974
-0.3617,-0.1033
-0.2666,-0.3116
-0.3005,-0.7895
-0.0296,0.7367
-0.4872,-0.1646
0.4402,0.0512
0.2519,-0.2405
0.1304,-0.0237
0.237,-0.2729
-0.4048,-0.1516
-0.3936,-0.0562
-0.4069,-0.1623
-0.5586,-0.9162
0.0745,-0.2028
0.4858,0.5674
0.7063,0.9792
-0.4334,-0.9365
-0.2928,0.3925
-0.2068,0.2973
-0.158,0.0407
0.62,0.905
1.1996,1.136
1.0406,1.2195
0.3928,0.1663
0.5637,0.8881
0.5647,0.3169
1.7209,1.5868
0.68,0.3815
-0.1784,-0.0868
1.4547,1.5626
1.1948,0.6836
0.7487,0.6176
1.3203,1.1894
1.0905,0.845
1.2244,1.102
1.8672,1.4904
1.0131,0.606
1.162,0.619
1.6207,1.4686
2.2279,1.6813
1.3799,1.4002
1.7635,1.44
0.402,0.152
2.4865,2.6459
1.8823,1.5525
1.5645,1.3261
2.2985,1.6852
2.9645,2.8235
2.1889,2.0067
2.6292,1.9367
2.8644,2.9071
2.9576,2.2279
2.8142,2.7236
2.1086,1.6281
3.9146,3.4973
3.2694,3.1984
3.3525,2.948
3.272,3.1556
2.3699,1.5713
