"pop","trend_start","trend_end","slope_c_per_year","observed_2026_anomaly","projected_2050_anomaly"
"p0",1990,2026,0.0765667852062597,2.3699,5.00476714082501
"p1",1990,2026,0.0667358937885261,1.5713,4.34787780938836
