"pop","location","lon","lat","baseline_temp_c","shifted_temp_c","baseline_optimum","shifted_optimum"
0,"Lugano",8.9511,46.0037,285.222025587524,287.366507416039,8.68188086181559,10
1,"Jungfraujoch",7.985,46.547,274.351102259453,276.201916335573,2,3.13761442158887
