"year","p0","p1","p2","p3"
1940,10.3879,10.3725,10.3495,9.1422
1941,9.9811,10.4265,10.4445,9.025
1942,11.2519,11.3016,11.2358,9.8264
1943,11.6436,12.3153,12.5607,11.2011
1944,10.5689,11.2126,11.4202,9.9517
1945,11.6786,12.1705,12.2157,10.7965
1946,11.6453,12.0435,12.2277,10.9446
1947,12.3344,12.6166,12.726,11.3704
1948,11.7753,12.1447,12.3088,11.1662
1949,12.1305,12.884,13.0164,11.346
1950,11.4719,12.2001,12.2854,10.9891
1951,10.9518,11.7354,11.9252,10.8123
1952,10.8497,11.5992,11.6752,10.2046
1953,11.4168,11.7784,12.0606,10.9986
1954,10.16,10.7258,10.8802,9.682
1955,11.0879,11.2277,11.1981,9.9752
1956,9.8429,10.2408,10.2806,9.0629
1957,11.5362,11.8835,12.0905,10.9794
1958,11.0218,11.5861,11.6541,10.4666
1959,12.0068,12.6425,12.7921,11.2226
1960,11.2581,11.7319,11.892,10.656
1961,12.2815,12.8279,12.9594,11.8514
1962,10.3924,10.7649,11.0212,9.6276
1963,10.2013,10.2825,10.4542,9.4622
1964,11.3239,11.6068,11.6382,10.4016
1965,10.1117,10.593,10.7358,9.5831
1966,10.9788,11.7219,11.7632,10.4847
1967,11.554,11.8827,12.0121,10.7758
1968,10.9654,11.1967,11.2828,10.1868
1969,10.8364,10.9564,11.1043,10.0356
1970,10.689,10.9406,11.0289,9.9053
1971,11.5555,11.7585,11.8843,10.4807
1972,11.1694,11.3338,11.41,10.2183
1973,11.1902,11.339,11.4081,10.173
1974,11.1488,11.869,12.1252,10.7912
1975,11.324,11.6123,11.7005,10.5105
1976,11.5191,11.7477,11.7652,10.4364
1977,11.2358,11.7431,11.8463,10.7359
1978,10.8276,11.1154,11.0448,9.9361
1979,11.1733,11.5202,11.524,10.3282
1980,10.5204,10.8115,10.9079,9.58
1981,11.1186,11.7374,11.6951,10.2694
1982,12.0513,12.3832,12.3154,11.1793
1983,12.091,12.4271,12.4573,11.4366
1984,11.076,11.3561,11.4178,10.2829
1985,11.1941,11.4089,11.3617,10.2783
1986,11.4794,11.7904,11.7463,10.7033
1987,11.449,11.4997,11.3892,10.3486
1988,12.151,12.5179,12.5526,11.4748
1989,12.9692,13.024,13.1679,12.0367
1990,12.6598,12.7889,12.9169,11.9006
1991,12.0658,12.0316,12.0167,10.7916
1992,12.4385,12.5147,12.6465,11.6281
1993,12.0254,12.198,12.2944,11.2059
1994,13.3395,13.5137,13.5244,12.6134
1995,12.1988,12.4333,12.4776,11.2939
1996,11.5819,11.5515,11.3392,10.2047
1997,13.0784,13.0298,12.9544,11.8503
1998,12.3986,12.8178,12.9094,11.668
1999,12.3192,12.6103,12.567,11.4572
2000,13.0551,13.4421,13.4573,12.3351
2001,12.4979,12.6319,12.6296,11.6293
2002,12.8383,12.991,13.1104,12.1733
2003,13.6974,13.9242,14.2025,12.4426
2004,12.1605,12.2287,12.3312,11.3654
2005,12.0335,12.3318,12.2529,11.363
2006,13.0288,13.0814,12.9751,11.9766
2007,12.7855,13.1279,13.0942,12.3646
2008,12.5184,12.7838,12.7384,12.0742
2009,13.1411,13.1969,12.9557,12.2435
2010,11.6876,11.8998,11.7517,10.9009
2011,13.8383,14.1149,13.8205,12.9082
2012,12.7806,12.8849,12.7486,11.9395
2013,12.1597,12.2229,12.1322,11.401
2014,13.8003,13.7903,13.9101,13.1095
2015,14.016,13.9016,13.8941,12.909
2016,13.0157,12.8619,12.9886,12.2686
2017,13.4354,13.4596,13.4481,12.2099
2018,14.3175,14.3823,14.8398,13.5345
2019,13.8105,13.9799,13.8828,12.9263
2020,14.2503,14.0747,14.1269,13.0743
2021,12.9073,12.703,12.6458,11.6838
2022,15.2971,15.148,15.0196,13.654
2023,14.4904,14.7622,14.6077,13.685
2024,14.0219,13.9253,14.019,13.3286
2025,14.5249,13.9868,13.9782,13.0721
