0,0.003889,0.003608,0.001606,0.001056,0.00081,0.001344,0.002591,0.000778,0.000661
0.003889,0,0.002726,0.001231,0.001173,0.001732,0.003362,0.005,0.000858,0.00122
0.003608,0.002726,0,0.0042,0.002742,0.000489,0.001221,0.00284,0.002049,0.001219
0.001606,0.001231,0.0042,0,0.004101,0.00023,0.000653,0.001486,0.003471,0.001134
0.001056,0.001173,0.002742,0.004101,0,0.00027,0.000887,0.001758,0.005,0.002428
0.00081,0.001732,0.000489,0.00023,0.00027,0,0.002791,0.001461,0.000203,0.000535
0.001344,0.003362,0.001221,0.000653,0.000887,0.002791,0,0.004181,0.00068,0.001834
0.002591,0.005,0.00284,0.001486,0.001758,0.001461,0.004181,0,0.001303,0.002163
0.000778,0.000858,0.002049,0.003471,0.005,0.000203,0.00068,0.001303,0,0.002194
0.000661,0.00122,0.001219,0.001134,0.002428,0.000535,0.001834,0.002163,0.002194,0
