"pop","trend_start","trend_end","slope_c_per_year","observed_2026_anomaly","projected_2050_anomaly"
"p0",1990,2026,0.0501928402086302,2.5112,3.8431425320057
"p1",1990,2026,0.0483017780938839,2.2683,3.63299359886203
