-1.0621,-1.2093
-1.008,-1.1143
-0.1329,-0.323
0.8807,1.0019
-0.2219,-0.1386
0.736,0.657
0.609,0.6689
1.1821,1.1672
0.7102,0.7501
1.4495,1.4576
0.7656,0.7266
0.3008,0.3665
0.1647,0.1164
0.3439,0.5018
-0.7087,-0.6786
-0.2068,-0.3606
-1.1937,-1.2782
0.4489,0.5317
0.1516,0.0953
1.208,1.2334
0.2974,0.3332
1.3934,1.4007
-0.6696,-0.5375
-1.152,-1.1046
0.1723,0.0795
-0.8415,-0.823
0.2874,0.2044
0.4482,0.4533
-0.2378,-0.276
-0.4782,-0.4545
-0.4939,-0.5299
0.324,0.3255
-0.1007,-0.1488
-0.0955,-0.1506
0.4345,0.5664
0.1778,0.1418
0.3132,0.2065
0.3086,0.2875
-0.3191,-0.514
0.0857,-0.0348
-0.623,-0.6508
0.3029,0.1363
0.9487,0.7566
0.9925,0.8985
-0.0784,-0.141
-0.0256,-0.197
0.3559,0.1876
0.0652,-0.1696
1.0834,0.9938
1.5895,1.6092
1.3544,1.3581
0.5971,0.458
1.0802,1.0878
0.7635,0.7356
2.0792,1.9657
0.9988,0.9188
0.117,-0.2195
1.5953,1.3957
1.3833,1.3506
1.1758,1.0082
2.0076,1.8985
1.1974,1.0708
1.5565,1.5516
2.4897,2.6437
0.7942,0.7724
0.8973,0.6941
1.6469,1.4163
1.6934,1.5354
1.3493,1.1797
1.7624,1.3969
0.4653,0.1929
2.6804,2.2617
1.4504,1.1898
0.7884,0.5734
2.3558,2.3513
2.4671,2.3354
1.4274,1.4299
2.0251,1.8893
2.9478,3.281
2.5454,2.324
2.6402,2.5681
1.2685,1.087
3.7135,3.4608
3.3277,3.0489
2.4908,2.4602
2.5523,2.4194
2.5112,2.2683
2.6887,2.5221
2.7389,2.5704
2.7891,2.6187
2.8393,2.667
2.8895,2.7153
2.9397,2.7636
2.9899,2.8119
3.0401,2.8602
3.0902,2.9085
3.1404,2.9568
3.1906,3.0051
3.2408,3.0534
3.291,3.1017
3.3412,3.15
3.3914,3.1983
3.4416,3.2466
3.4918,3.2949
3.542,3.3432
3.5922,3.3915
3.6424,3.4398
3.6926,3.4881
3.7428,3.5364
3.7929,3.5847
3.8431,3.633
